episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2025-04 to 2025-06,KNSL,Enhanced short/order-book,0.0011977898091100059,100119.778980911,0.07371439892128973,0.10051431759148988,-0.02762198879551825,0.6923076923076923,0.15625,3,0
2025-04 to 2025-06,MCY,Core MA + ATR,0.0033750174420610346,100337.5017442061,0.08639036399931892,0.19637809609825707,-0.03755706620420518,0.6666666666666666,0.203125,4,0
2025-04 to 2025-06,MCY,Enhanced short/order-book,0.0033750174420610346,100337.5017442061,0.08639036399931892,0.19637809609825707,-0.03755706620420518,0.6666666666666666,0.203125,4,0
2025-04 to 2025-06,LMND,Core MA + ATR,0.01881403533666215,101881.40353366622,0.3884956760643825,0.37924018610046223,-0.17524736715962808,0.4117647058823529,0.203125,3,0
2025-04 to 2025-06,LMND,Enhanced short/order-book,0.01881403533666215,101881.40353366622,0.3884956760643825,0.37924018610046223,-0.17524736715962808,0.4117647058823529,0.203125,3,0
2025-04 to 2025-06,CINF,Core MA + ATR,-0.0682165665353549,93178.3433464645,0.11203334327964286,-2.426257563777047,-0.07682598855686507,0.35,0.21875,7,1
2025-04 to 2025-06,CINF,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2025-04 to 2025-06,PGR,Core MA + ATR,-0.024219721853400156,97578.02781465999,0.06536040748914898,-1.4444212109534578,-0.03163595514712936,0.5789473684210527,0.1875,7,0
2025-04 to 2025-06,PGR,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2025-04 to 2025-06,AIZ,Core MA + ATR,0.019373585149286887,101937.3585149287,0.04848665005640722,1.5820616642609213,-0.010188313532088489,0.5,0.03125,1,0
2025-04 to 2025-06,AIZ,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
